"County","Sector","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"INYO","Total","     210.065599","     204.997426","     203.645696","     206.812856","     205.742773","     201.236361","     226.736030","     204.934598","     212.053323","     230.941500","     238.539126","     235.697350","     227.904860","     229.450742","     209.753666","     216.338028","     219.343338","     222.090371","     232.871111","     214.999706","     223.369957","     220.795397","     230.555944","     116.199116","      94.926087","      93.260696","      91.672588","      85.778432","      82.663938","      78.917041","      77.563740","      82.702477","      89.478248","    5922.038121"
"KERN","Total","   14860.851474","   14966.659676","   14896.906184","   17187.906023","   15914.176737","   18508.315041","   16501.938244","   15139.679143","   14272.810747","   15006.803923","   16661.709220","   15935.962809","   14939.010660","   14427.232465","   15436.644614","   17232.693588","   16438.334960","   14937.825392","   16527.131561","   14922.577863","   14280.930338","   12701.967763","   11382.270540","   11361.408322","    9418.476935","   11386.146230","   10638.055512","    9285.239119","   10876.675518","    9895.688581","   10621.615771","   10452.648749","   13460.952418","  460477.246120"
"KINGS","Total","    2017.116928","    1999.214584","    1875.167289","    1617.859966","    1770.882842","    1510.807886","    1785.089464","    1769.205561","    1811.209563","    1788.086672","    1682.868535","    1423.298676","    1452.720157","    1585.421155","    1495.954045","    1423.788768","    1387.732990","    1315.326509","    1337.672861","    1077.452641","     980.535302","     924.456742","     934.603122","     967.748574","     939.741860","     996.958456","     952.152085","     905.684092","    1010.399181","     889.862575","    1021.893769","    1016.785601","     963.410751","   44631.109202"
"LAKE","Total","     447.610683","     472.756114","     458.674666","     442.697952","     441.722410","     464.137019","     440.875045","     430.797297","     441.242936","     470.025814","     466.402241","     459.294124","     454.318659","     453.005357","     455.603903","     444.763308","     653.123229","     624.167113","     543.896301","     535.751670","     462.487627","     446.782928","     423.554929","     417.101608","     395.089005","     370.630548","     397.753063","     462.820692","     465.929322","     458.779355","     466.223519","     473.187296","     451.803569","   15293.009302"
"LASSEN","Total","     330.939559","     356.535319","     375.454478","     371.213606","     375.876518","     385.916889","     422.358502","     363.499434","     395.585269","     397.499641","     380.438107","     377.599443","     359.473899","     392.325638","     264.585159","     253.153877","     290.550475","     289.943443","     291.569300","     261.517791","     256.551216","     256.427317","     238.815043","     235.487998","     225.871446","     226.676276","     224.510254","     196.906744","     210.172361","     149.056168","     149.940696","     193.685996","     183.957040","    9684.094902"
"LOS ANGELES","Total","   68484.956280","   66003.285887","   65566.252521","   66741.976412","   67834.125617","   68591.440922","   69364.522462","   69460.618222","   69859.785154","   68280.237724","   69167.614512","   68115.605900","   68184.284484","   69876.811302","   72009.869126","   71186.176200","   70880.482075","   69949.743091","   69178.896254","   68496.549532","   67707.795517","   69740.639374","   69404.131206","   66713.286181","   65706.387719","   65864.262539","   64180.750483","   62466.055489","   62781.683672","   62200.732776","   63273.867573","   62714.840951","   64747.794976"," 2224735.462133"
"MADERA","Total","    1808.229048","    1800.208564","    1741.547704","    1581.201497","    1653.575848","    1579.260359","    1587.879994","    1693.879873","    1658.334724","    1576.701139","    1529.922763","    1386.937416","    1378.831926","    1433.669199","    1419.964687","    1371.481627","    1189.725975","    1150.343180","    1189.918087","    1094.256251","    1129.095686","    1106.337242","    1110.500699","    1121.653102","    1017.214588","    1070.991890","    1036.888114","     974.240043","    1024.505025","     959.095491","     974.421567","     917.315425","     893.909102","   43162.037835"
"MARIN","Total","    1293.364962","    1294.769246","    1320.598839","    1344.772555","    1320.350078","    1376.732904","    1335.902845","    1348.727748","    1350.117093","    1391.480742","    1387.155067","    1405.921251","    1423.185601","    1458.978565","    1462.996669","    1444.534573","    1425.886931","    1402.301262","    1427.501747","    1384.462022","    1423.537829","    1371.926550","    1490.424485","    1444.559826","    1393.779693","    1388.555466","    1344.727434","    1319.742016","    1303.195933","    1314.249848","    1282.774063","    1250.717511","    1261.042838","   45188.974192"
"MARIPOSA","Total","     114.463997","     115.305164","     111.073966","     109.089775","     112.689265","     111.337576","     107.607396","     106.533234","     109.637664","     113.100030","     112.870380","     110.887003","     112.106633","     119.959831","     131.011278","     127.460757","     108.297136","     103.420831","     106.098858","     104.974084","     104.650663","     104.655899","     107.152697","     124.093725","     123.615414","     119.065193","     118.159721","     114.286160","     113.833048","     105.532888","     107.894014","     111.047330","     102.622092","    3704.533702"
"MENDOCINO","Total","     542.780516","     593.704471","     580.907345","     560.585048","     564.927074","     585.442709","     577.772512","     567.253460","     564.417049","     593.512798","     602.027202","     603.550050","     600.453963","     602.020336","     617.276953","     613.833725","     710.925693","     701.674398","     572.108747","     544.812559","     559.915792","     565.235125","     637.469750","     627.462134","     577.669838","     610.440603","     596.321226","     560.420063","     570.663732","     577.547572","     565.766058","     560.856163","     585.547341","   19495.302005"
"MERCED","Total","    3185.454578","    3036.238461","    3234.181623","    3697.377996","    3553.779551","    3967.441915","    3462.860278","    2920.853703","    3020.188583","    3057.123262","    3306.108818","    3658.157946","    3398.214604","    2744.319779","    2725.696523","    3668.528878","    2809.112306","    2897.168232","    3083.677210","    2858.389586","    2951.854052","    2805.918304","    2883.323045","    3256.067040","    2411.321078","    2749.685901","    2761.883357","    2558.348443","    2156.450267","    2802.691459","    2143.611901","    2040.361245","    2337.072494","   98143.462418"
"MODOC","Total","     173.504307","     180.612810","     165.338792","     145.244463","     148.985921","     152.819021","     152.105635","     164.679766","     167.942774","     169.109259","     163.954645","     149.267863","     154.043929","     159.040226","     160.849290","     146.464782","     160.302097","     153.502761","     151.678479","     169.410156","     161.659936","     162.143341","     165.152453","     166.379517","     142.508443","     164.591158","     176.209543","     137.400730","     143.794174","     156.182727","     162.784875","     128.373771","     139.940919","    5195.978563"
"MONO","Total","     213.383923","     206.739287","     200.045832","     211.621577","     197.021459","     199.486513","     189.479941","     188.660211","     191.606934","     204.437944","     196.958957","     204.850358","     201.169051","     199.680846","     199.711765","     185.590257","     174.910575","     195.600004","     195.082813","     163.458791","     145.723362","     136.529493","     146.895189","     153.034493","     186.345661","     181.058130","     170.287274","     165.460044","     169.584752","     166.931950","     162.219800","     184.867233","     159.319521","    6047.753940"
"MONTEREY","Total","    2490.468746","    2480.948594","    2412.742881","    2471.232510","    2478.597525","    2558.205103","    2559.445462","    2652.848734","    2603.356783","    2625.188878","    2548.401475","    2567.262801","    2564.789973","    2596.506415","    2616.406607","    2582.074024","    2556.210373","    2553.473907","    2619.004180","    2596.259037","    2566.894399","    2496.821761","    2502.464169","    2484.664673","    2275.809169","    2351.909092","    2246.451466","    2276.214833","    2092.382654","    2202.366963","    2210.001332","    2184.817134","    2122.100590","   81146.322243"
"NAPA","Total","    1029.113973","     995.360950","    1018.581906","    1030.996486","    1018.086667","    1044.282935","    1040.192862","    1034.771616","    1030.221416","    1038.021316","    1023.261591","    1016.104044","    1005.935324","    1010.458234","    1025.198733","     997.792886","     980.937927","     939.293878","     937.637325","     918.040244","     899.793870","     867.028238","     938.538669","     921.903943","     861.678050","     840.004670","     796.505243","     706.633885","     680.896891","     692.432841","     684.661579","     646.675129","     631.620557","   30302.663878"
"NEVADA","Total","     697.188838","     748.322890","     729.253761","     708.958422","     714.072195","     741.021633","     659.396729","     626.495136","     633.754043","     658.196425","     660.776911","     658.407976","     654.807115","     659.579740","     666.875190","     654.655581","     649.085696","     626.592861","     624.831778","     595.023422","     612.012007","     581.266280","     588.701930","     571.250322","     557.742120","     529.953946","     522.964434","     507.926251","     512.402460","     497.630683","     483.297529","     500.412367","     481.975536","   20314.832207"
"ORANGE","Total","   20243.721856","   19213.664417","   19691.159206","   19818.929702","   19993.458037","   20127.011546","   20234.197645","   20724.591766","   20732.058612","   20259.780308","   20372.569933","   19919.534292","   19764.011487","   20671.172650","   21531.681533","   21123.386110","   21322.147997","   20684.909856","   20397.890715","   19711.714564","   18987.342885","   17683.875470","   20090.331224","   19107.107727","   19257.405211","   18538.229577","   17731.360613","   17097.471405","   17290.252227","   16619.122956","   17392.463111","   16605.068094","   16759.276430","  639696.899162"
"PLACER","Total","    3088.624407","    3033.149332","    2992.676990","    2913.899612","    2905.773582","    2969.875273","    2938.028323","    2894.880602","    2916.944823","    2880.878163","    2912.061937","    2893.632779","    2884.897765","    2951.538174","    3019.357052","    3004.120093","    2834.804130","    2695.002414","    2711.582302","    2557.183912","    2436.325531","    2275.639084","    2352.562383","    2215.047729","    2128.929498","    1934.874656","    1829.063692","    1858.131537","    1794.466121","    1669.272402","    1586.812580","    1596.550767","    1492.592759","   83169.180404"
"PLUMAS","Total","     200.308544","     210.192686","     215.999990","     210.313260","     205.676883","     201.610852","     202.845775","     194.066786","     200.555793","     211.857465","     224.105817","     219.277383","     199.843028","     202.288264","     217.769469","     215.927795","     223.770752","     193.923549","     194.232851","     195.438474","     219.258219","     186.696463","     202.052578","     201.797196","     191.862723","     217.596324","     181.521330","     160.905286","     150.959280","     228.987747","     221.594323","     183.594684","     178.424229","    6665.255798"
"RIVERSIDE","Total","   17780.573271","   17000.310529","   16779.191266","   15763.295459","   15814.295598","   15790.953961","   15335.900130","   15177.229615","   15472.779951","   15074.996919","   15207.863812","   14351.640235","   13997.425315","   14444.183948","   15058.482188","   14934.077934","   15183.363215","   13231.601574","   12692.950039","   12753.287087","   11504.326815","   10417.454826","   11623.617945","   10751.795196","    9960.878822","    9839.763913","    9552.215723","    9138.110289","    9012.977929","    7169.877540","    7211.068987","    6904.850597","    6764.057841","  421695.398469"
"SACRAMENTO","Total","   11410.080625","   11258.636867","   11048.279022","   10911.766063","   10915.662266","   11383.624810","   10813.779362","   10895.633061","   10962.087123","   10790.195221","   10781.589916","   10720.385465","   10702.009933","   10985.454852","   11101.300054","   11067.231159","   10999.867714","   10708.809922","   10339.538042","   10041.548393","    9564.111347","    9551.852092","    9734.350136","    9523.430758","    9276.318865","    9112.008631","    9031.107857","    8605.658806","    8624.436896","    8582.342867","    8570.960932","    8397.128177","    8409.099665","  334820.286899"
"SAN BENITO","Total","     398.843582","     386.347025","     379.457134","     371.037122","     378.910886","     377.950082","     381.194706","     367.285542","     356.067522","     357.725238","     332.951281","     315.487198","     308.617532","     316.013353","     315.855785","     322.765591","     317.545851","     305.040755","     311.898070","     298.446920","     315.861713","     316.877641","     291.073185","     276.914782","     246.569722","     236.317328","     214.125736","     201.506763","     195.489127","     185.573936","     187.464310","     188.901368","     187.822386","    9943.939172"
"SAN BERNARDINO","Total","   16629.614195","   16168.836692","   15909.770925","   15258.990525","   15325.797893","   15236.663411","   14901.793431","   14684.891237","   14680.412000","   14315.340652","   14307.961941","   13691.677716","   13446.360861","   13747.699739","   14788.177548","   14787.609265","   14617.497001","   14705.517316","   14325.982889","   13148.307872","   12644.873278","   11165.379687","   12852.034349","   12148.754285","   11618.048237","   11573.632418","   11355.430185","   10825.009253","   10730.913347","   11811.516626","   11840.208061","   11577.463836","   11448.538544","  446270.705215"
"SAN DIEGO","Total","   20242.901498","   19485.535712","   19121.395927","   19040.883258","   19513.501324","   19360.609426","   19496.806491","   19718.483401","   19736.182291","   19423.248817","   19370.258654","   18956.055343","   18966.433921","   19408.217580","   19828.688935","   19453.199272","   19278.293294","   18329.737160","   18349.292902","   17478.893674","   16761.628261","   16332.988604","   17921.639225","   17433.727512","   16395.332414","   15979.618067","   15359.784906","   14898.338441","   14734.083640","   14421.606029","   14501.711432","   13769.286211","   14395.975483","  587464.339105"
"SAN FRANCISCO","Total","    5120.585617","    4990.150570","    5032.031362","    5631.344589","    5626.631924","    5720.144562","    5747.083369","    5785.551728","    5828.036150","    5872.547242","    5859.709628","    5887.017844","    5740.564717","    5644.450257","    5711.745018","    5607.742317","    5317.986457","    5355.943444","    5067.188168","    4978.893071","    5053.503462","    5006.466824","    5282.292698","    5192.445156","    4819.118716","    5128.707901","    4999.840708","    4971.438397","    4860.186411","    4972.735135","    4912.237099","    4967.867806","    4984.472429","  175676.660776"
"SAN JOAQUIN","Total","    5771.280050","    5522.142193","    5674.932449","    5549.318577","    5616.421924","    5614.335689","    5435.495723","    5145.046735","    5215.351507","    5529.647345","    5335.731424","    5253.825163","    5185.218099","    5309.110601","    5307.448275","    5440.578429","    5772.787091","    5727.534697","    5397.688554","    4909.743006","    5204.577804","    5099.226766","    5166.904923","    5361.360192","    4516.106970","    4741.837626","    4539.376481","    4389.994962","    3999.000190","    4257.827359","    3817.854385","    3670.416980","    3868.310187","  167346.432356"
"SAN LUIS OBISPO","Total","    1729.480297","    1682.160378","    1671.677742","    1697.369787","    1756.058714","    1759.825651","    1727.126908","    1700.706294","    1713.906989","    1749.776421","    1713.999479","    1672.709396","    1655.809535","    1691.522216","    1726.057428","    1752.645205","    1590.267847","    1570.600721","    1585.361414","    1551.102840","    1463.373031","    1484.430871","    1424.808693","    1377.022319","    1279.453501","    1278.769631","    1227.735962","    1183.203853","    1164.075808","    1155.401121","    1119.039951","    1123.031746","    1146.272359","   50124.784108"
"SAN MATEO","Total","    4177.361534","    4093.050053","    4152.846389","    4326.121682","    4242.790144","    4343.231505","    4329.690176","    4420.569480","    4439.440394","    4515.053980","    4497.358784","    4562.977734","    4764.328905","    4968.545418","    5073.973492","    4998.282377","    4669.239486","    4542.771125","    4761.665095","    4612.655579","    4214.897521","    4229.899165","    4808.791275","    4582.759750","    4433.761840","    4356.380630","    4119.976922","    4021.696721","    3942.191103","    3955.564639","    3907.967735","    3890.128738","    3967.579009","  144923.548380"
"SANTA BARBARA","Total","    2804.124632","    2744.758666","    2740.967042","    2771.764252","    2821.575657","    2800.739664","    2858.351534","    3112.319347","    3411.758677","    3374.370215","    3259.914959","    3236.683516","    3228.305031","    3234.570986","    3261.718202","    3177.372866","    3185.708535","    3240.525789","    3165.658308","    2994.896448","    3021.746099","    2743.702506","    2865.737547","    2730.428474","    2735.337278","    2783.834708","    2668.441282","    2589.883229","    2565.208314","    2601.268984","    2567.872808","    2520.875703","    2484.634486","   96305.055744"
"SANTA CLARA","Total","   17101.799026","   16407.983873","   16367.892110","   16655.390366","   16643.208051","   16997.125845","   16825.158366","   16803.516268","   16662.368681","   16560.989113","   16483.628755","   16534.491047","   16252.114114","   16546.659852","   16718.786583","   16446.362520","   16042.068644","   15555.346984","   15357.314501","   15175.110581","   14523.619347","   15396.914371","   16611.474809","   16416.668600","   15733.686308","   15333.587973","   14505.474483","   14088.277854","   13936.103081","   14093.051826","   14078.544905","   13960.470483","   14050.090718","  520865.280038"
"SANTA CRUZ","Total","    1177.175107","    1138.724198","    1173.318547","    1193.625810","    1206.648160","    1216.529143","    1220.641125","    1231.083826","    1237.229691","    1275.349251","    1265.132513","    1259.742586","    1267.403432","    1276.557517","    1358.789327","    1409.413096","    1435.097432","    1400.005914","    1468.745757","    1363.988135","    1413.202532","    1468.011719","    1538.632262","    1486.135388","    1397.965954","    1432.349802","    1359.100696","    1368.596532","    1305.161159","    1312.201511","    1293.460713","    1272.012610","    1287.543982","   43509.575427"
"SHASTA","Total","    1617.460541","    1653.539978","    1574.354568","    1529.620720","    1564.696471","    1572.323141","    1552.457689","    1559.125685","    1541.746612","    1545.732552","    1532.918760","    1521.088455","    1524.253643","    1566.932665","    1604.160776","    1617.027198","    1609.860576","    1575.888865","    1724.797407","    1646.301172","    1613.365705","    1523.847395","    1564.427563","    1517.423296","    1531.147068","    1545.436645","    1509.867411","    1541.032720","    1486.385195","    1499.101455","    1569.497297","    1559.671174","    1520.621566","   51616.111964"
"SIERRA","Total","      22.907935","      22.827782","      22.269352","      22.007413","      21.118555","      21.922634","      25.959148","      24.152352","      23.704668","      23.558435","      23.599488","      23.421251","      23.709494","      24.435243","      25.103763","      28.234191","      23.861248","      25.123280","      24.618725","      34.984998","      32.168313","      35.542103","      22.743712","      22.934518","      23.083401","      22.296488","      22.388548","      22.570062","      22.065750","      17.888245","      15.842939","      23.368664","      23.887409","     794.300107"
"SISKIYOU","Total","     534.261817","     536.505683","     519.129959","     494.734749","     495.643708","     508.859777","     492.838040","     494.570446","     485.511819","     500.496002","     486.170167","     499.977454","     501.508488","     517.587901","     541.873181","     563.467392","     514.210861","     509.922864","     518.666692","     509.408379","     501.942750","     482.590703","     456.660683","     461.670783","     432.097285","     450.856727","     523.153340","     459.568480","     447.406109","     456.379116","     460.129633","     457.377559","     463.911027","   16279.089574"
"SOLANO","Total","    3255.398734","    3230.378992","    3288.186282","    3206.767513","    3248.133837","    3189.261148","    3184.156836","    3195.293835","    3198.092131","    3210.807192","    3176.100731","    3107.622274","    3050.855874","    3163.036685","    3165.981267","    3330.237719","    3155.558143","    3110.416451","    3048.735573","    2958.393637","    2857.392135","    2786.770619","    3003.743597","    2961.030157","    2695.884986","    2582.677606","    2584.818623","    2556.839267","    2557.923851","    2529.080236","    2537.302686","    2487.587024","    2640.925459","   98255.391100"
"SONOMA","Total","    2880.319344","    2834.182654","    2852.339582","    2873.919776","    2912.311855","    3005.994826","    2947.251057","    2934.070071","    2938.093923","    2962.325540","    2918.645627","    2885.843023","    2873.527211","    2850.531023","    2940.792526","    2916.413636","    2862.304041","    2747.715102","    2861.794666","    2753.438957","    2768.338517","    2634.872235","    2851.830747","    2739.026762","    2579.861923","    2544.533434","    2458.186794","    2356.439200","    2322.685965","    2312.159188","    2262.892118","    2210.253469","    2227.798222","   90020.693014"
"STANISLAUS","Total","    5245.207692","    5186.243542","    5045.130567","    4755.086796","    4803.317689","    4870.090447","    4762.968636","    4767.088528","    4769.421285","    4705.085170","    4684.148057","    4498.619833","    4448.450324","    4593.776333","    4707.712160","    4688.056040","    4787.615226","    4649.940813","    4516.660488","    4513.590255","    4370.670147","    4145.370226","    4253.608554","    4080.812932","    3993.592931","    3839.909898","    3778.333732","    3577.477421","    3539.102124","    3406.758180","    3561.054646","    3604.274334","    3413.683605","  144562.858611"
"SUTTER","Total","     661.658305","     686.545803","     669.829888","     633.529771","     633.544066","     642.760797","     628.497769","     645.424668","     647.497153","     646.696397","     634.763999","     612.359312","     599.521541","     625.201497","     628.610357","     620.912107","     626.839493","     568.814879","     564.237055","     541.620660","     538.535843","     520.833091","     540.658491","     522.881712","     496.037019","     502.754816","     492.259516","     468.815044","     472.759586","     456.858867","     453.614728","     436.397429","     429.461952","   18850.733611"
"TEHAMA","Total","     530.785045","     539.393235","     524.175105","     508.044878","     506.464392","     509.593967","     497.342281","     496.980306","     492.426088","     506.743749","     505.619410","     492.650776","     485.632347","     501.760286","     508.927034","     508.552058","     476.752639","     452.258764","     462.683561","     444.657652","     403.904689","     492.162913","     487.963951","     484.238028","     457.554990","     464.118562","     453.241319","     436.337209","     430.392864","     417.971760","     416.302683","     410.171236","     419.991809","   15725.795586"
"TRINITY","Total","     149.642952","     158.628059","     149.614292","     134.910840","     130.468034","     137.275801","     128.558085","     111.150244","     117.681399","     119.382561","     111.924380","     121.056013","      88.636173","      93.614840","      12.385247","      11.402576","      71.331344","      72.082345","      15.351474","      23.553919","      23.034953","       9.762866","      10.348639","      10.374431","       9.706855","      10.202311","      10.216828","      10.048588","      10.112048","      23.705185","      35.354918","      36.874063","      36.393096","    2194.785359"
"TULARE","Total","    4957.696254","    4926.539906","    4604.829778","    4213.196641","    4403.135964","    4210.307855","    4306.006039","    4415.914452","    4425.968342","    4255.301551","    4097.517440","    3699.072812","    3762.385660","    3923.467347","    3875.450276","    3728.328365","    3647.887653","    3349.787944","    3329.017608","    3278.358764","    3474.531341","    3296.784849","    3345.251455","    3197.388192","    2604.626362","    2728.979352","    2653.713470","    2479.983709","    2581.896404","    2423.992211","    2596.442000","    2528.667805","    2576.692790","  117899.120591"
"TUOLUMNE","Total","     449.824037","     483.204566","     457.874114","     450.750547","     452.481595","     460.013533","     447.164761","     441.448984","     440.059053","     460.570091","     453.862191","     445.557765","    1461.546420","    1416.796687","     720.948279","     856.154713","    1100.150038","     475.001781","     440.667200","     412.436061","     427.098670","     417.393531","     454.582543","     435.987509","     425.662893","     380.866502","     353.895899","     398.475991","     424.178536","     455.243558","     434.891116","     434.914659","     431.403327","   17801.107150"
"VENTURA","Total","    5558.912878","    5358.757881","    5454.580426","    5454.529073","    5441.746367","    5505.265961","    5453.868005","    5591.497053","    5484.165397","    5395.230985","    5519.327671","    5468.006747","    5448.821319","    5585.788499","    5917.964219","    5696.785775","    5689.598136","    5649.687410","    5577.690202","    5339.823698","    5578.640813","    5164.658848","    5872.655899","    5370.725471","    4992.561183","    4868.185675","    4661.855835","    4555.679880","    4527.004183","    4440.003169","    4400.914947","    4411.269730","    4490.108507","  173926.311842"
"YOLO","Total","    1796.929928","    1779.892608","    1763.595767","    1705.848150","    1689.205784","    1714.498376","    1674.446074","    1690.524021","    1733.703460","    1698.478810","    1669.641808","    1645.782370","    1596.416393","    1677.551442","    1618.583524","    1628.002851","    1712.050664","    1697.163191","    1525.890104","    1419.956582","    1514.416348","    1352.665608","    1457.601537","    1563.313483","    1322.734405","    1292.596253","    1286.933847","    1217.715606","    1219.551720","    1188.631157","    1146.895251","    1138.348147","    1141.738534","   50281.303803"
"YUBA","Total","     572.304358","     571.090112","     564.650222","     509.943569","     502.749287","     504.212722","     481.144062","     477.850400","     488.025790","     488.986051","     481.404509","     471.064314","     465.082166","     512.180503","     463.233354","     475.140635","     533.106513","     518.089562","     462.539338","     364.935972","     611.635048","     497.274225","     505.537407","     613.997052","     442.704047","     437.852811","     454.685259","     423.644993","     445.397045","     430.521181","     464.585537","     463.490868","     448.122147","   16147.181059"
